Season,Name,Team,O-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),EV,LA,wRC+,NameASCII,PlayerId,MLBAMID
2022,Nick Allen,OAK,0.32755633,0.51906412,0.59259259,0.86341463,83.88689630681819,7.576231589048972,59.30126254041671,Nick Allen,22277,669397
2024,Ke'Bryan Hayes,PIT,0.28275862,0.44761905,0.63902439,0.93598234,88.94485766267124,4.770579054900811,59.19662116518044,Ke'Bryan Hayes,18577,663647
2022,Mauricio Dubón,- - -,0.37969095,0.54962647,0.80232558,0.88629738,84.67236216,16.74103993,59.07930460754074,Mauricio Dubon,16530,643289
2022,Geraldo Perdomo,ARI,0.20631579,0.40126152,0.66326531,0.8748019,84.95168192675159,12.142016757066083,58.54851703331576,Geraldo Perdomo,22799,672695
2024,Adam Duvall,ATL,0.32835821,0.49041534,0.51515152,0.85096154,86.87356135670731,22.17744141,58.03662969372295,Adam Duvall,10950,594807
2021,Andrelton Simmons,MIN,0.27317676,0.44586375,0.72850679,0.89648438,84.10379302536232,3.9179595504981886,57.99227685930693,Andrelton Simmons,10847,592743
2023,Oswaldo Cabrera,NYY,0.27721088,0.5012285,0.56441718,0.86859688,87.78438387784091,13.394566761363636,57.934763091581715,Oswaldo Cabrera,21707,665828
2023,Casey Schmitt,SFG,0.39451477,0.54818653,0.54010695,0.86549708,88.14688527960526,15.11111996299342,57.78991343785489,Casey Schmitt,27577,669477
2022,Jonathan Schoop,DET,0.36725664,0.55505869,0.53614458,0.85476551,87.00601604278074,9.741627604166666,57.13723376,Jonathan Schoop,11265,570731
2024,Nick Fortes,MIA,0.29657795,0.47920277,0.76282051,0.92191436,84.28393003994361,15.425735358905076,56.980060096515224,Nick Fortes,21538,663743
2021,Marwin Gonzalez,- - -,0.32666667,0.46633416,0.65306122,0.84657534,87.91842447916666,8.926667668,56.539537738229264,Marwin Gonzalez,5497,503556
2022,Jackie Bradley Jr.,- - -,0.28376328,0.49315068,0.57219251,0.78470825,87.63136976709906,7.3987228105653005,56.032861357188814,Jackie Bradley Jr.,12984,598265
2022,Nicky Lopez,KCR,0.30455076,0.4846765,0.75862069,0.88195616,84.94603235094851,4.930862881626863,55.12350148,Nicky Lopez,19339,670032
2021,Isan Díaz,MIA,0.23506744,0.43551402,0.35245902,0.81395349,88.66898018973214,9.649295625232515,54.91579623957048,Isan Diaz,17922,656371
2023,Jacob Stallings,MIA,0.23396226,0.40405904,0.49193548,0.91401274,89.68833379020468,9.110540665643063,54.76008243451446,Jacob Stallings,13723,607732
2024,Kevin Kiermaier,- - -,0.31722689,0.53891626,0.39072848,0.78030303,86.43497386259192,7.261323098575367,54.28166020783303,Kevin Kiermaier,11038,595281
2023,Nick Allen,OAK,0.29084381,0.48671808,0.62345679,0.91133005,84.83561731557377,6.808626634247449,54.21252461070756,Nick Allen,22277,669397
2023,Oscar Colás,CHW,0.41257367,0.53747323,0.51904762,0.82534247,88.44992846111919,6.739091030386991,52.83900789787362,Oscar Colas,30162,693049
